City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
236,Paragominas,-2.9667,-47.4833,69.84,95,5,3.18,clear sky,BR,2022-08-06 05:16:58
237,Talara,-4.5772,-81.2719,64.85,79,98,15.19,overcast clouds,PE,2022-08-06 05:16:59
238,Cairns,-16.9167,145.7667,93.07,72,39,4.61,scattered clouds,AU,2022-08-06 05:16:59
239,Katsuura,35.1333,140.3,77.67,73,100,7.47,overcast clouds,JP,2022-08-06 05:17:00
240,Camapua,-19.5314,-54.0439,68.11,65,7,5.37,clear sky,BR,2022-08-06 05:17:01
241,Bundaberg,-24.85,152.35,64.22,92,99,4.0,overcast clouds,AU,2022-08-06 05:17:01
242,Taperoa,-7.2075,-36.8267,62.91,96,6,6.91,clear sky,BR,2022-08-06 05:17:02
243,Byron Bay,-28.65,153.6167,72.95,51,73,5.41,broken clouds,AU,2022-08-06 05:17:02
244,Cherskiy,68.75,161.3,57.07,45,100,6.04,overcast clouds,RU,2022-08-06 05:17:03
245,Pochutla,15.7432,-96.4661,76.82,92,100,3.11,overcast clouds,MX,2022-08-06 05:17:03
246,Azuaga,38.2667,-5.6833,70.97,60,0,3.2,clear sky,ES,2022-08-06 05:17:04
247,Bosaso,11.2842,49.1816,89.49,40,4,27.11,clear sky,SO,2022-08-06 05:17:04
248,Lashio,22.9333,97.75,74.48,94,94,1.99,overcast clouds,MM,2022-08-06 05:17:05
249,Bandarbeyla,9.4942,50.8122,81.37,55,63,30.6,broken clouds,SO,2022-08-06 05:17:06
250,Sao Filipe,14.8961,-24.4956,77.25,82,88,5.64,overcast clouds,CV,2022-08-06 05:17:06
251,Oktyabrskoye,43.0645,44.7417,68.14,88,98,2.24,overcast clouds,RU,2022-08-06 05:17:07
252,Kamaishi,39.2667,141.8833,75.54,65,100,7.18,overcast clouds,JP,2022-08-06 05:17:07
253,San Cristobal,7.7669,-72.225,68.18,98,97,1.39,overcast clouds,VE,2022-08-06 05:17:08
254,Sobolevo,54.4299,31.8996,67.91,83,3,6.87,clear sky,RU,2022-08-06 05:17:08
255,Nouadhibou,20.931,-17.0347,71.58,88,40,4.61,scattered clouds,MR,2022-08-06 05:17:09
256,Mercedes,-34.6515,-59.4307,42.04,66,0,5.73,clear sky,AR,2022-08-06 05:17:09
257,Talnakh,69.4865,88.3972,61.21,60,62,8.93,broken clouds,RU,2022-08-06 05:17:10
258,Dakar,14.6937,-17.4441,77.88,82,91,6.69,overcast clouds,SN,2022-08-06 05:12:45
259,Saint-Joseph,-21.3667,55.6167,73.78,61,6,5.35,clear sky,RE,2022-08-06 05:17:11
